RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,18,Y2,2024 Q3,7.0,10.0,False,False,False,APPROVED,1,1000,Y2,Not Eligible,Non-Rewards,Low,22,1,,,,,,,,,0,,,,,,,,1,1500.00,1,1513.33451613,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01512063183,0.8853631,0.023022643263762858,0.8853631,0.8646,0.0018100000000000002,1653,0.0064,0.055600000000000004,1182.055908608687,0.95198691
F,11,Y1-S11,2020 H1,5.0,3.0,False,False,False,OTHER,2,0,Y1,Eligible,Non-Rewards,High,48,10,9.0,1.0,12.0,9860.70,40.00,10447.40,23850.00,0.0,0,1022.03,1100.00,0.0,0.00,0.0,10651.00568742,10091.74,9,23850.00,10,10651.00568742,1.333333,1022.03000000,0.43804612,2650.00000000,0.00,0.0,40.00,0,10651.00568742,0.00375551,0.01089896886,0.49118,0.04073095701350439,0.49118000000000006,0.849585222682923,0.0008399999999990001,1481,0.0053725,0.031400000000000004,460.28375387668837,0.9240317199769471
F,26,Y3,2023 Q4,4.0,7.0,False,False,True,OTHER,7,0,Y3+,Eligible,Rewards,High,10,14,14.0,0.0,0.0,53941.03,9540.09,55581.61,98950.00,0.0,0,0.00,0.00,0.0,0.00,1.0,53748.10523655,52061.57,14,98950.00,14,53748.10523655,0.000000,0E-8,0.56171410,7067.85714286,0.00,1.0,9540.09,0,53748.10523655,0.17749630,0.001783333333,0.6535153,0.049728870082778896,0.6535153,0.7604000000000001,0.0020700000000000002,6463,0.0057,0.0269,4119.043096377893,0.94682106
F,11,Y1-S11,2022 Q2,8.0,7.0,False,False,False,APPROVED,2,300,Y1,Not Eligible,Non-Rewards,Low,37,1,,,,,,,,,0,,,,,,,,1,5300.00,1,3659.65100000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.0141814706,0.71098427,0.02927648005938914,0.71098427,0.8782466275751251,0.001019999999999,1768,0.0057658300000000004,0.0512,797.034158303448,0.9441795241852121
F,11,Y1-S11,2021 H1,13.0,5.0,False,False,False,APPROVED,2,500,Y1,Not Eligible,Non-Rewards,Low,20,1,,,,,,,,,0,,,,,,,,3,6700.00,1,3414.18632258,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.02457872119,0.68036865,0.03416432112146166,0.68036865,0.9423122786594631,0.0015959999999990001,1943,0.00626828,0.0767,961.5139042020928,0.9360323064849231
F,26,Y3,2024 Q2,1.0,5.0,True,False,True,APPROVED,6,2000,Y3+,Eligible,Non-Rewards,Low,64,6,,,,,,,,,0,,,,,,,,6,52550.00,6,14173.96898926,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,26,Y3,2024 Q2,4.0,5.0,False,False,True,OTHER,6,0,Y3+,Eligible,Non-Rewards,Low,22,36,,,,,,,,,0,,,,,,,,35,205300.00,36,106210.61848386,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.007758333333,0.4662885,0.02720594371253431,0.4662885,0.8160000000000001,0.0019100000000000002,5465,0.0056,0.0359,2271.002905752569,0.9272155400000001
F,11,Y1-S11,2022 Q4,5.0,3.0,False,False,False,APPROVED,1,2500,Y1,Eligible,Non-Rewards,High,30,44,43.0,1.0,12.0,92859.87,8590.24,96799.40,181650.00,0.0,0,3729.55,4100.00,0.0,0.00,5.0,94870.22472042,87833.77,43,181650.00,44,94870.22472042,0.279070,3729.55000000,0.53288962,4224.41860465,0.00,5.0,8590.24,0,94870.22472042,0.09054727,0.01287146925,0.5360426252,0.0715782788593992,0.54022523,0.849585222682922,0.0011400000000000002,3229,0.0053725,0.0347,1331.1749693326492,0.9240317199769471
F,11,Y1-S11,2022 Q2,15.0,9.0,False,False,False,OTHER,2,0,Y1,Eligible,Rewards,High,27,36,36.0,0.0,0.0,49249.62,2570.79,51999.75,61100.00,1.0,0,0.00,0.00,0.0,0.00,3.0,51752.32827956,49002.04,36,61100.00,36,51752.32827956,0.000000,0E-8,0.85105974,1697.22222222,0.00,3.0,2570.79,0,51752.32827956,0.04967487,0.03708415135,0.89690049,0.015987046436414177,0.89690049,0.9424073279382531,0.0011400000000000002,1439,0.00638743,0.0806,505.8609214817583,0.9472573796835111
F,11,Y1-S11,2023 Q4,6.0,2.0,False,False,False,APPROVED,1,1000,Y1,Eligible,Rewards,Low,33,6,,,,,,,,,0,,,,,,,,15,25800.00,6,19148.28163440,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01286332678,0.46950104,0.05664550775761124,0.46950104000000004,0.860157204537462,0.001019999999999,1708,0.00551021,0.044500000000000005,576.0795958534759,0.9102563418171141
