RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT,ACTUAL_PBAD_PER_OPEN,ACTUAL_SEVERITY,ACTUAL_UTIL,ACTUAL_DQ30,ACTUAL_CREDIT_LINE,ACTUAL_CASH_ADVANCE,ACTUAL_PENALTY,ACTUAL_PVOL,ACTUAL_ATTRITION,ACTUAL_OUTSTANDING
F,11,Y1-S11,2024 Q2,5.0,6.0,True,False,False,APPROVED,3,500,Y1,Eligible,Rewards,Low,6,1,,,,,,,,,0,,,,,,,,90,289300.0,1,197766.46160213,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0007328054032,0.7561718435,0.10362056657080682,0.75871189,0.7147572784757491,0.0007800000000000001,2987,0.00582109,0.0162,2244.525930503915,0.9367022009372,,,,,,,,,,
F,18,Y2,2024 Q2,1.0,9.0,True,False,True,APPROVED,4,3000,Y2,Eligible,Non-Rewards,Low,82,1,,,,,,,,,0,,,,,,,,1,8000.0,1,5968.73166667,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2024 Q1,3.0,1.0,False,False,False,APPROVED,2,1500,Y1,Eligible,Rewards,High,1,6,6.0,0.0,0.0,6710.48,6518.9,6742.68,20500.0,0.0,0,0.0,0.0,1.0,83.0,0.0,4076.62040045,898.36,6,20500.0,6,4076.62040045,0.0,0.0,0.32891122,3416.66666667,83.0,0.0,6518.9,0,4076.62040045,1.59909419,8.498755539000000e-05,0.05452071,0.23636299399332444,0.05452071,0.495712371916783,0.0007800000000000001,2996,0.00543711,0.006500000000000001,163.20275659195957,0.183202058869739,0.0,,0.327340487804878,0.0,3416.6666666666665,0.16666666666666666,0.0,0.9668114162321213,0.0,4076.62040045
F,7,Y1-S7,2022 Q4,3.0,7.0,True,False,False,APPROVED,2,500,Y1,Eligible,Non-Rewards,High,25,4,4.0,0.0,0.0,8727.07,751.7,9011.06,12500.0,0.0,0,0.0,0.0,0.0,0.0,1.0,8519.33999999,8038.52,4,12500.0,4,8519.33999999,0.0,0.0,0.7208848,3125.0,0.0,1.0,751.7,0,8519.33999999,0.08823453,0.007239607055,0.71746825,0.0702709570490982,0.71746825,0.8268521523416761,0.0011400000000000002,1996,0.00507363,0.0285,1285.5990302471475,0.9441795241852121,0.0,,0.6981655999999999,0.0,3125.0,0.0,0.25,0.08341970866912439,0.0,8519.33999999
F,18,Y2,2024 Q2,2.0,2.0,True,False,False,APPROVED,2,1000,Y2,Eligible,Non-Rewards,Low,38,6,,,,,,,,,0,,,,,,,,1,2100.0,6,1327.87966667,0.0,0.0,0.0,0.0,,,,0,,0.0,0.004183632475,0.2780169,0.025704042326303224,0.2780169,0.7896000000000001,0.0014600000000000001,2513,0.0047,0.0181,583.7240051164665,0.87920042,,,,,,,,,,
F,7,Y1-S7,2018 H2,7.0,1.0,False,False,False,APPROVED,1,1000,Y1,Not Eligible,Non-Rewards,High,37,32,32.0,0.0,0.0,11357.5,730.94,11586.32,65000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12456.97599997,11448.35,32,65000.0,32,12456.97599997,0.0,0.0,0.17825108,2031.25,0.0,0.0,730.94,0,12456.97599997,0.05867716,0.01360018551,0.3547083,0.04550945845029586,0.3547083,0.86955055864978,0.001019999999999,1690,0.0056416,0.0463,392.8893407507946,0.8811869824598241,0.0,,0.17473076923076922,0.0,2031.25,0.0,0.0,0.06308646748924594,0.0,12456.97599997
F,18,Y2,2023 Q4,7.0,7.0,False,False,False,APPROVED,2,500,Y2,Eligible,Non-Rewards,Low,50,28,,,,,,,,,0,,,,,,,,10,21400.0,28,18698.68400001,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01388554896,0.61405659,0.015976513400204707,0.61405659,0.8596,0.0014600000000000001,1954,0.0064,0.0324,640.9725365584106,0.9423974700000001,,,,,,,,,,
F,11,Y1-S11,2024 Q1,4.0,7.0,True,False,False,APPROVED,2,1000,Y1,Eligible,Rewards,Low,67,22,,,,,,,,,0,,,,,,,,18,59450.0,22,50214.28597851,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2024 Q1,1.0,2.0,True,False,False,APPROVED,1,500,Y1,Eligible,Non-Rewards,Low,71,6,,,,,,,,,0,,,,,,,,6,13500.0,6,5852.77136559,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2020 H1,8.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,Low,31,45,,,,,,,,,0,,,,,,,,120,97700.0,45,68324.90652644,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01492599151,0.7211877,0.028500452547477743,0.7211877,0.8782466275751251,0.001019999999999,674,0.0057658300000000004,0.0536,338.14484454106423,0.9377883106196371,,,,,,,,,,
